PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
12.59,None,9.41,None,4.35,0.48,18.86
18.61,None,4.84,None,3.9,0.39,10.66
13.84,None,5.3,None,3.53,0.47,16.03
23.13,None,7.02,None,2.47,0.36,14.58
41.11,None,11.96,None,3.9,0.57,26.26
21.95,None,5.45,None,2.83,0.56,38.01
13.35,None,4.58,None,2.54,0.46,28.59
72.35,None,6.01,None,4.35,0.56,6.34
11.25,None,6.63,None,5.25,0.56,21.1
16.14,None,5.19,None,2.13,0.41,38.02
10.31,None,5.44,None,2.64,0.48,63.78
12.35,None,6.31,None,2.58,0.46,34.6
90.76,None,5.43,None,3.34,0.55,4.51
15.42,None,5.95,None,3.9,0.48,14.65
24,None,4.85,None,5.33,0.44,16.9
18.71,None,8.06,None,4.29,0.49,38.18
18.74,None,9.04,None,3.29,0.65,41
24.42,None,0.87,None,3.52,0.63,72.87
353.2,None,2.9,None,6.74,0.5,42.9
16.84,None,1.99,None,4.07,0.51,31.33
17.2,None,22.21,None,1.37,0.4,33.65
18.79,None,7.86,None,9.09,0.48,28.22
22.17,None,5.42,None,3.97,0.52,34.19
35.55,None,8.79,None,4.37,0.47,28.08
15.99,None,11.46,None,4.64,0.57,76.03
17.48,None,2.46,None,2.38,0.43,60.62
275.82,None,3.14,None,3.58,0.45,77.18
18.5,None,2.08,None,3.65,0.45,53.87
17.65,None,2.29,None,4.09,0.39,78.81
10.2,None,14.45,None,7,0.43,76.05
37.32,None,0.69,None,4.1,0.46,71.71
19.27,None,0.91,None,3.28,0.44,60.76
16.12,None,2.72,None,3.27,0.43,54.93
33.57,None,5.12,None,2.79,0.43,56.92
14.11,None,3.11,None,2.07,0.41,91.72
13.94,None,2.72,None,4.4,0.38,58.13
13.69,None,11.51,None,3.91,0.43,77.78
15.76,None,16.5,None,8.83,0.37,51.65
20.89,None,26.41,None,7.61,0.51,65
6.76,None,13.21,None,2.66,0.42,70.24
8.83,None,8.06,None,2.87,0.49,77.91
15.04,None,5.08,None,3.43,0.46,62.46
17.74,None,15.73,None,3.21,0.59,77.4
16.02,None,12.04,None,2.73,0.57,61.82
19.94,None,8.08,None,4.14,0.44,33.99
13.03,None,9.61,None,3.08,0.46,34.01
16.9,None,11.21,None,3.21,0.55,24.97
14.63,None,7.62,None,3.88,0.5,28.91
11.96,None,7.46,None,2.52,0.32,28.47
10.13,None,8.79,None,3.61,0.53,29.33
24.17,None,15.35,None,3.08,0.55,34.27
25.88,None,8.98,None,3.19,0.52,34.91
24.07,None,10.39,None,2.83,0.65,23.34
36.78,None,17.36,None,6.21,0.51,35.79
26.98,None,7.45,None,2.82,0.44,24.44
19.84,None,2.27,None,2.52,0.31,17.98
39.97,None,2.31,None,3.13,0.31,23.09
42.4,None,14.73,None,4.02,0.3,20.67
38.85,None,8.71,None,2.64,0.4,24.64
42.68,None,7.98,None,3.8,0.27,38.79
57.05,None,6.47,None,6.52,0.42,26.9
60.04,None,8.87,None,2.57,0.38,21.83
49.11,None,7.75,None,2.23,0.32,14.89
41.2,None,11.36,None,3.36,0.39,17.46
29.63,None,19.67,None,4.82,0.55,14.71
19.23,None,11.41,None,6.33,0.37,10.84
29.71,None,7.02,None,4.06,0.38,20.87
14.08,None,9.76,None,5.48,0.36,20.79
11.66,None,9.63,None,2.05,0.35,18.64
20.09,None,8.37,None,2.55,0.34,27.96
11.47,None,10.08,None,5.91,0.38,10.87
51.88,None,15.92,None,5.44,0.8,14.19
