,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
60,459.25,213.53,12.47,7.73,8.12,0.68,13.72
61,50.58,213.53,12.42,7.73,7.06,0.4,16.05
62,55.02,213.53,11.45,7.73,7.42,0.84,16.56
63,51.71,213.53,19.42,7.73,6.6,0.75,22.12
64,37.65,213.53,12.57,7.73,7.08,0.67,19.04
65,17.37,213.53,11.39,7.73,6.24,0.66,22.71
66,18.45,213.53,11.57,7.73,6.71,0.77,18.89
67,15.43,213.53,11.57,7.73,7.45,0.97,29.81
68,13.18,213.53,9.44,7.73,5.18,0.44,13.75
69,14.84,213.53,11.35,7.73,7.91,0.74,11.85
70,27.36,213.53,11.13,7.73,7.79,0.75,24.59
71,34.72,213.53,10.28,7.73,8.28,1.19,19.08
72,39.96,213.53,10.33,7.73,7.46,0.54,27.45
73,45.59,213.53,9.68,7.73,6.74,0.86,28.7
74,48.3,213.53,16.17,7.73,7.53,0.72,22.39
75,48.92,213.53,9.53,7.73,9.18,0.98,29.08
76,35.56,213.53,9.48,7.73,6.8,0.66,21.24
77,31.96,213.53,10.1,7.73,5.93,0.9,15.68
78,39.48,213.53,19.24,7.73,6.46,0.51,16.67
79,25.09,213.53,9.05,7.73,6.2,0.39,21.7
80,15.08,213.53,9.78,7.73,4.91,1.01,17.65
81,13.48,213.53,17.36,7.73,4.64,0.67,17.67
82,12.8,213.53,14.17,7.73,4.46,0.92,16.03
83,15.24,213.53,16.15,7.73,4.55,0.75,11.92
84,17.18,213.53,17.65,7.73,4.96,1.08,13.43
85,19.07,213.53,9.82,7.73,5.15,1.21,17.14
86,21.63,213.53,19.82,7.73,4.38,0.53,24.12
87,18.47,213.53,15.1,7.73,5.84,1.01,23.84
88,15.35,213.53,19.94,7.73,4.16,0.67,29.6
89,43.1,213.53,11.76,7.73,4.6,1.59,29.25
90,13.96,213.53,10.18,7.73,4.44,0.83,22.02
91,15.05,213.53,10.22,7.73,4.08,0.8,25.76
92,12.7,213.53,10.12,7.73,4.65,0.91,13.26
93,12.69,213.53,10.09,7.73,4.69,0.94,10.22
94,14.16,213.53,10.0,7.73,4.48,1.2,8.75
95,13.09,213.53,10.11,7.73,4.56,1.22,10.42
96,9.36,213.53,9.87,7.73,4.1,1.0,12.11
97,71.57,213.53,13.41,7.73,5.5,1.09,10.13
98,9.01,213.53,22.02,7.73,4.47,0.9,11.33
99,75.96,213.53,21.98,7.73,4.61,1.14,10.28
100,25.89,213.53,21.54,7.73,5.73,1.19,11.61
101,21.3,213.53,22.29,7.73,4.68,1.1,11.77
102,19.82,213.53,21.67,7.73,4.5,1.07,25.69
103,18.8,213.53,20.75,7.73,5.73,1.15,11.53
104,17.59,213.53,13.79,7.73,4.31,1.39,16.65
105,8.42,213.53,8.39,7.73,5.4,1.33,12.68
106,7.9,213.53,3.8,7.73,3.92,1.08,16.79
107,6.71,213.53,5.12,7.73,3.67,0.76,16.38
108,4.75,213.53,5.0,7.73,4.76,0.93,13.53
109,4.75,213.53,5.18,7.73,4.73,1.33,16.63
110,20.87,213.53,5.35,7.73,4.79,1.08,29.55
111,31.23,213.53,4.83,7.73,5.66,1.44,18.77
112,45.56,213.53,4.04,7.73,6.09,1.04,13.1
113,45.77,213.53,4.44,7.73,5.27,1.29,14.34
114,45.42,213.53,4.32,7.73,4.71,1.14,17.91
115,45.97,213.53,4.41,7.73,5.46,0.87,16.23
116,45.75,213.53,4.87,7.73,4.96,0.98,11.0
117,45.97,213.53,4.55,7.73,4.07,1.19,14.39
118,46.21,213.53,3.67,7.73,5.56,1.45,14.68
119,45.29,213.53,3.86,7.73,5.3,1.24,21.41
120,46.23,213.53,6.54,7.73,6.35,1.2,23.93
121,46.16,213.53,9.49,7.73,5.22,1.03,21.32
122,45.53,213.53,9.64,7.73,4.28,1.21,19.83
123,46.29,213.53,10.21,7.73,4.09,0.9,25.07
124,46.1,213.53,10.57,7.73,4.09,1.22,23.13
125,45.87,213.53,9.46,7.73,4.24,1.31,17.41
126,46.36,213.53,10.43,7.73,4.58,1.13,12.41
127,54.51,213.53,10.1675,7.73,5.55,0.97,30.65
128,48.21,213.53,10.153333333333334,7.73,4.614999999999998,1.1575,20.9
129,48.913333333333334,213.53,9.945,7.73,4.789999999999998,1.1366666666666667,20.156666666666666
130,50.435,213.53,10.43,7.73,5.064999999999997,1.05,21.529999999999998
131,54.51,213.53,14.403333333333334,7.73,5.55,0.97,30.65
132,43.635,213.53,18.37666666666667,7.73,6.295,0.895,47.235
133,32.76,213.53,22.35,7.73,7.04,0.82,63.82
134,24.93,213.53,14.47,7.73,5.07,0.71,45.71
135,21.8,213.53,15.14,7.73,5.03,1.31,46.91
136,23.2,213.53,14.31,7.73,4.94,1.62,51.96
137,28.34,213.53,14.16,7.73,4.95,0.66,46.82
